OBJECTID,ZONING_ABBREVIATION,ZONING,STATUS,TOWN,PLAN_NAME,MyPlan_GZT,Shape__Area,Shape__Length
191,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,858.783721923828,120.244140246046
192,EM,Environmental Management,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,,842.4150390625,238.972003182178
193,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,842.040649414063,156.729526027092
194,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,811.928161621094,119.04029376216
195,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,797.988006591797,121.870055446996
196,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,780.846221923828,176.412814491297
197,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,760.55712890625,224.022437117068
198,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,758.433898925781,183.829949242368
199,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,731.372833251953,115.790384417474
200,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,726.742156982422,131.061508086219
201,TC,Town Centre,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,M2,724.122985839844,124.315679503279
202,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,696.085968017578,133.535375153761
203,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,691.949493408203,106.692604665432
204,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,648.248779296875,277.223645229063
205,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,642.764068603516,139.537131373964
206,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,620.507843017578,190.36135975975
207,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,620.107879638672,114.220262328714
208,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,608.493865966797,242.318118901398
209,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,606.010345458984,89.2861779123218
210,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,573.925476074219,106.897977690682
211,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,570.829528808594,113.032020851613
212,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,561.992767333984,131.687678318374
213,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,548.603912353516,147.365654322483
214,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,547.759185791016,117.780093968905
215,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,512.105377197266,119.995192478364
216,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,505.460021972656,175.453320310623
217,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,503.039916992188,159.78404609631
218,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,499.152069091797,85.4639810662937
219,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,489.417907714844,97.1480427784764
220,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,488.416564941406,156.908404835756
221,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,477.230346679688,90.279057122219
222,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,473.789520263672,109.808960145585
223,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,472.488708496094,105.42699303675
224,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,465.862335205078,202.761902077499
